year,month,day,hour,minute,second,count
2023,7,16,23,16,26,1
2023,7,16,23,16,28,1
2023,7,16,23,16,38,1
2023,7,16,23,16,43,4
2023,7,16,23,16,44,1
2023,7,16,23,16,47,1
2023,7,16,23,17,0,1
2023,7,16,23,17,18,1
2023,7,16,23,17,26,1
2023,7,16,23,17,43,3
2023,7,16,23,17,44,2
2023,7,16,23,18,2,1
2023,7,16,23,18,18,1
2023,7,16,23,18,23,1
2023,7,16,23,18,26,1
2023,7,16,23,18,41,1
2023,7,16,23,18,42,1
2023,7,16,23,18,43,2
2023,7,16,23,18,44,1
2023,7,16,23,19,14,1
2023,7,16,23,19,28,1
2023,7,16,23,19,43,2
2023,7,16,23,19,44,3
2023,7,16,23,19,46,1
2023,7,16,23,19,47,1
2023,7,16,23,20,27,1
2023,7,16,23,20,44,4
2023,7,16,23,20,52,1
2023,7,16,23,21,0,1
2023,7,16,23,21,13,1
2023,7,16,23,21,26,2
2023,7,16,23,21,41,1
2023,7,16,23,21,44,5
2023,7,16,23,22,5,1
2023,7,16,23,22,9,1
2023,7,16,23,22,21,1
2023,7,16,23,22,26,1
2023,7,16,23,22,41,1
2023,7,16,23,22,44,5
2023,7,16,23,23,3,1
2023,7,16,23,23,13,1
2023,7,16,23,23,21,1
2023,7,16,23,23,22,1
2023,7,16,23,23,26,1
2023,7,16,23,23,44,6
2023,7,16,23,24,0,1
2023,7,16,23,24,10,1
2023,7,16,23,24,19,1
2023,7,16,23,24,21,1
2023,7,16,23,24,26,1
2023,7,16,23,24,44,5
2023,7,16,23,24,53,1
2023,7,16,23,25,0,1
2023,7,16,23,25,22,1
2023,7,16,23,25,26,1
2023,7,16,23,25,38,1
2023,7,16,23,25,40,1
2023,7,16,23,25,42,1
2023,7,16,23,25,44,5
2023,7,16,23,26,2,1
2023,7,16,23,26,26,1
2023,7,16,23,26,44,5
2023,7,16,23,26,56,1
2023,7,16,23,27,17,1
2023,7,16,23,27,23,1
2023,7,16,23,27,26,1
2023,7,16,23,27,40,1
2023,7,16,23,27,41,1
2023,7,16,23,27,42,1
2023,7,16,23,27,43,1
2023,7,16,23,27,44,4
2023,7,16,23,28,28,1
2023,7,16,23,28,35,1
2023,7,16,23,28,42,1
2023,7,16,23,28,44,4
2023,7,16,23,28,46,2
2023,7,16,23,28,57,1
2023,7,16,23,29,8,1
2023,7,16,23,29,9,1
2023,7,16,23,29,18,1
2023,7,16,23,29,24,1
2023,7,16,23,29,26,1
2023,7,16,23,29,41,1
2023,7,16,23,29,44,10
2023,7,16,23,30,13,1
2023,7,16,23,30,21,1
2023,7,16,23,30,26,1
2023,7,16,23,30,44,4
2023,7,16,23,30,47,1
2023,7,16,23,30,48,1
2023,7,16,23,31,25,1
2023,7,16,23,31,28,1
2023,7,16,23,31,42,1
2023,7,16,23,31,44,5
2023,7,16,23,32,2,1
2023,7,16,23,32,26,1
2023,7,16,23,32,38,1
2023,7,16,23,32,44,3
2023,7,16,23,33,1,1
2023,7,16,23,33,9,1
2023,7,16,23,33,21,1
2023,7,16,23,33,25,1
2023,7,16,23,33,26,2
2023,7,16,23,33,42,1
2023,7,16,23,33,44,6
2023,7,16,23,34,0,1
2023,7,16,23,34,24,1
2023,7,16,23,34,28,1
2023,7,16,23,34,42,1
2023,7,16,23,34,44,4
2023,7,16,23,35,1,1
2023,7,16,23,35,26,1
2023,7,16,23,35,27,1
2023,7,16,23,35,42,1
2023,7,16,23,35,44,3
2023,7,16,23,35,45,1
2023,7,16,23,36,17,1
2023,7,16,23,36,18,1
2023,7,16,23,36,27,1
2023,7,16,23,36,44,1
2023,7,16,23,36,45,2
2023,7,16,23,37,13,1
2023,7,16,23,37,14,1
2023,7,16,23,37,18,1
2023,7,16,23,37,26,1
2023,7,16,23,37,27,1
2023,7,16,23,37,28,1
2023,7,16,23,37,41,1
2023,7,16,23,37,42,1
2023,7,16,23,37,44,2
2023,7,16,23,37,45,5
2023,7,16,23,37,46,1
2023,7,16,23,37,56,1
2023,7,16,23,38,21,1
2023,7,16,23,38,27,1
2023,7,16,23,38,44,1
2023,7,16,23,38,45,5
2023,7,16,23,39,14,1
2023,7,16,23,39,25,1
2023,7,16,23,39,27,1
2023,7,16,23,39,29,2
2023,7,16,23,39,35,1
2023,7,16,23,39,44,2
2023,7,16,23,39,45,4
2023,7,16,23,39,46,1
2023,7,16,23,40,2,1
2023,7,16,23,40,28,1
2023,7,16,23,40,42,1
2023,7,16,23,40,44,1
2023,7,16,23,40,45,3
2023,7,16,23,41,1,1
2023,7,16,23,41,26,1
2023,7,16,23,41,30,1
2023,7,16,23,41,44,1
2023,7,16,23,41,45,1
2023,7,16,23,42,7,1
2023,7,16,23,42,9,1
2023,7,16,23,42,26,1
2023,7,16,23,42,44,2
2023,7,16,23,42,45,1
2023,7,16,23,43,21,1
2023,7,16,23,43,31,1
2023,7,16,23,43,44,1
2023,7,16,23,43,45,2
2023,7,16,23,44,26,1
2023,7,16,23,44,42,1
